,tot_porch,WoodDeckSF,MoSold_4,MasVnrType_Stone,Heating_Wall,Condition1_RRNe,Exterior2nd_Stone,Electrical_FuseP,Foundation_CBlock,LandSlope_Mod,Electrical_Mix,LotArea,Neighborhood_OldTown,BldgType_Duplex,Condition1_PosA,Foundation_Wood,Exterior2nd_Brk Cmn,Neighborhood_NPkVill,LandContour_HLS,Fence,MiscVal,lg_MiscVal,Exterior2nd_ImStucc,Exterior1st_Stucco,YrSold_2010,RoofMatl_Metal,3SsnPorch,MoSold_12,Condition2_RRNn,RoofStyle_Gambrel,MasVnrType_BrkFace,MoSold_8,lg_house_age,Exterior1st_CBlock,Neighborhood_NAmes,SaleType_Con,GarageType_CarPort,Neighborhood_BrkSide,Neighborhood_Gilbert,Exterior1st_Stone,Exterior1st_BrkFace,Heating_GasW,SaleCondition_Alloca,SaleCondition_Family,lg_Remodel_Age,Neighborhood_Sawyer,Condition2_PosN,SaleType_Oth,Condition1_RRNn,Exterior2nd_Plywood,MoSold_6,MoSold_7,Neighborhood_Crawfor,Condition1_RRAn,Neighborhood_CollgCr,Condition2_Feedr,Neighborhood_MeadowV,MoSold_3,SaleType_ConLI,GarageFinish,LotShape_Reg,Exterior2nd_Other,BldgType_TwnhsE,Neighborhood_NWAmes,Neighborhood_Veenker,YrSold_2007,Utilities_NoSeWa,MSZoning_RH,PoolArea,Exterior1st_BrkComm,RoofStyle_Shed,BsmtExposure,Neighborhood_NoRidge,MoSold_9,Neighborhood_Blueste,LotConfig_FR2,RoofMatl_Tar&Grv,Heating_Grav,Neighborhood_Edwards,RoofStyle_Gable,Exterior2nd_Stucco,HouseStyle_2.5Fin,RoofMatl_Membran,Exterior1st_WdShing,HouseStyle_2.5Unf,LotShape_IR3,PavedDrive_P,LandSlope_Sev,Foundation_Stone,Electrical_None,MiscFeature_Othr,Foundation_Slab,Neighborhood_SawyerW,YrSold_2008,Exterior1st_AsphShn,SaleType_ConLw,RoofMatl_WdShngl,Condition1_PosN,Condition1_Feedr,BldgType_2fmCon,Condition1_RRAe,Neighborhood_Mitchel,FireplaceQu,Exterior2nd_BrkFace,SaleType_CWD,Heating_OthW,HouseStyle_SFoyer,YrSold_2009,Neighborhood_ClearCr,LotConfig_Inside,LotConfig_CulDSac,RoofStyle_Mansard,MoSold_10,Neighborhood_IDOTRR,RoofMatl_Roll,SaleCondition_AdjLand,LotConfig_FR3,GarageType_Detchd,Exterior1st_ImStucc,Exterior1st_VinylSd,GarageType_Basment,MoSold_11,Exterior1st_CemntBd,MoSold_2,BsmtFinType2,Neighborhood_BrDale,Neighborhood_SWISU,Neighborhood_Timber,HouseStyle_SLvl,SaleType_ConLD,Condition2_RRAn,Condition2_RRAe,Alley_Pave,Exterior2nd_AsphShn,Exterior1st_Plywood,Neighborhood_StoneBr,Exterior2nd_Wd Shng,HouseStyle_1.5Unf,LowQualFinSF,BldgType_Twnhs,2ndFlrSF,Exterior1st_Wd Sdng,Neighborhood_NridgHt,SaleCondition_Normal,Electrical_FuseF,LandContour_Low,EnclosedPorch,RoofMatl_WdShake,LotShape_IR2,BsmtUnfSF,MoSold_5,GarageType_BuiltIn
0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,854.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,150.0,0.0,0.0
1,1.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,284.0,1.0,0.0
2,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,866.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,434.0,0.0,0.0
3,307.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.51085950651685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,756.0,1.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,540.0,0.0,0.0
4,84.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1053.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,490.0,0.0,0.0
5,350.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,700.0,6.551080335043404,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,566.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,64.0,0.0,0.0
6,57.0,255.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,317.0,0.0,0.0
7,432.0,235.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,983.0,0.0,0.0,1.0,0.0,0.0,228.0,0.0,0.0,216.0,0.0,0.0
8,205.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.343805421853684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.060443010546419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,752.0,0.0,0.0,0.0,1.0,0.0,205.0,0.0,0.0,952.0,0.0,0.0
9,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.23410650459726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.060443010546419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,140.0,0.0,0.0
