,SalePrice
0,208500
1,181500
2,223500
3,140000
4,250000
5,143000
6,307000
7,200000
8,129900
9,118000
10,129500
11,345000
12,144000
13,279500
14,157000
15,132000
16,149000
17,90000
18,159000
19,139000
20,325300
21,139400
22,230000
23,129900
24,154000
25,256300
26,134800
27,306000
28,207500
29,68500
30,40000
31,149350
32,179900
33,165500
34,277500
35,309000
36,145000
37,153000
38,109000
39,82000
40,160000
41,170000
42,144000
43,130250
44,141000
45,319900
46,239686
47,249700
48,113000
49,127000
50,177000
51,114500
52,110000
53,385000
54,130000
55,172500
56,196500
57,438780
58,124900
59,158000
60,101000
61,202500
62,140000
63,219500
64,317000
65,180000
66,226000
67,80000
68,225000
69,244000
70,129500
71,185000
72,144900
73,107400
74,91000
75,135750
76,127000
77,136500
78,110000
79,193500
80,153500
81,245000
82,126500
83,168500
84,260000
85,174000
86,164500
87,85000
88,123600
89,109900
90,98600
91,163500
92,133900
93,204750
94,185000
95,214000
96,94750
97,83000
98,128950
99,205000
100,178000
101,118964
102,198900
103,169500
104,250000
105,100000
106,115000
107,115000
108,190000
109,136900
110,180000
111,383970
112,217000
113,259500
114,176000
115,139000
116,155000
117,320000
118,163990
119,180000
120,100000
121,136000
122,153900
123,181000
124,84500
125,128000
126,87000
127,155000
128,150000
129,226000
130,244000
131,150750
132,220000
133,180000
134,174000
135,143000
136,171000
137,230000
138,231500
139,115000
140,260000
141,166000
142,204000
143,125000
144,130000
145,105000
146,222500
147,141000
148,115000
149,122000
150,372402
151,190000
152,235000
153,125000
154,79000
155,109500
156,269500
157,254900
158,320000
159,162500
160,412500
161,220000
162,103200
163,152000
164,127500
165,190000
166,325624
167,183500
168,228000
169,128500
170,215000
171,239000
172,163000
173,184000
174,243000
175,211000
176,172500
177,501837
178,100000
179,177000
180,200100
181,120000
182,200000
183,127000
184,173000
185,135000
186,153337
187,286000
188,315000
189,184000
190,192000
191,130000
192,127000
193,148500
194,311872
195,104000
196,274900
197,140000
198,171500
199,112000
200,149000
201,110000
202,143900
203,141000
204,277000
205,145000
